,Budget Per Query,Base_1000Q,Base_5000Q
399,0.00001,0.001,0.0002
400,0.00001,0.001,0.0002
401,0.00001,0.001,0.0002
402,0.00001,0.001,0.0002
403,0.0005,0.001,0.0002
404,0.00001,0.001,0.0002
405,0.00001,0.001,0.0002
406,0.00001,0.001,0.0002
407,0.00001,0.001,0.0002
408,0.00001,0.001,0.0002
409,0.00001,0.001,0.0002
410,0.00001,0.001,0.0002
411,0.00001,0.001,0.0002
412,0.00001,0.001,0.0002
413,0.00001,0.001,0.0002
414,0.00001,0.001,0.0002
415,0.00001,0.001,0.0002
416,0.00001,0.001,0.0002
417,0.00001,0.001,0.0002
418,0.00001,0.001,0.0002
419,0.0005,0.001,0.0002
420,0.00001,0.001,0.0002
421,0.00001,0.001,0.0002
422,0.00001,0.001,0.0002
423,0.00001,0.001,0.0002
424,0.00001,0.001,0.0002
425,0.00001,0.001,0.0002
426,0.00001,0.001,0.0002
427,0.00001,0.001,0.0002
428,0.00001,0.001,0.0002
429,0.002,0.001,0.0002
430,0.00001,0.001,0.0002
431,0.00001,0.001,0.0002
432,0.00001,0.001,0.0002
433,0.002,0.001,0.0002
434,0.00001,0.001,0.0002
435,0.00001,0.001,0.0002
436,0.00001,0.001,0.0002
437,0.00001,0.001,0.0002
438,0.00001,0.001,0.0002
439,0.00001,0.001,0.0002
440,0.00001,0.001,0.0002
441,0.00001,0.001,0.0002
442,0.00001,0.001,0.0002
443,0.00001,0.001,0.0002
444,0.00001,0.001,0.0002
445,0.00001,0.001,0.0002
446,0.00001,0.001,0.0002
447,0.00001,0.001,0.0002
448,0.00001,0.001,0.0002
449,0.00001,0.001,0.0002
450,0.00001,0.001,0.0002
451,0.00001,0.001,0.0002
452,0.00001,0.001,0.0002
453,0.00001,0.001,0.0002
454,0.00001,0.001,0.0002
455,0.00001,0.001,0.0002
456,0.00001,0.001,0.0002
457,0.00001,0.001,0.0002
458,0.00001,0.001,0.0002
459,0.00001,0.001,0.0002
460,0.00001,0.001,0.0002
461,0.00001,0.001,0.0002
462,0.00001,0.001,0.0002
463,0.00001,0.001,0.0002
464,0.00001,0.001,0.0002
465,0.00001,0.001,0.0002
466,0.00001,0.001,0.0002
467,0.00001,0.001,0.0002
468,0.0005,0.001,0.0002
469,0.00001,0.001,0.0002
470,0.00001,0.001,0.0002
471,0.00001,0.001,0.0002
472,0.00001,0.001,0.0002
473,0.00001,0.001,0.0002
474,0.00001,0.001,0.0002
475,0.00001,0.001,0.0002
476,0.00001,0.001,0.0002
477,0.0001,0.001,0.0002
